,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
1,OTT,2015-16,82,38,35,0,9,85,32,0.518,230,241,2.8,2.94,15.8,75.8,28.4,32.8,50.6
2,VAN,2015-16,82,31,38,0,13,75,26,0.457,186,239,2.27,2.91,15.8,81.1,28.2,32.5,45.4
3,COL,2015-16,82,39,39,0,4,82,35,0.5,212,240,2.59,2.93,18,80.2,28.6,32.3,49.9
4,CBJ,2015-16,82,34,40,0,8,76,28,0.463,213,248,2.6,3.02,17.3,81,29.1,31.1,49
5,EDM,2015-16,82,31,43,0,8,70,27,0.427,199,242,2.43,2.95,18.1,81.1,29.1,31.1,48.8
6,ARI,2015-16,82,35,39,0,8,78,34,0.476,208,244,2.54,2.98,17.7,77.3,27.6,31,54.7
7,CHI,2015-16,82,47,26,0,9,103,46,0.628,234,207,2.85,2.52,22.6,80.3,30.5,30.8,49.3
8,PHI,2015-16,82,41,27,0,14,96,38,0.585,211,210,2.57,2.56,18.9,80.5,31,30.7,51
9,BUF,2015-16,82,35,36,0,11,81,33,0.494,199,215,2.43,2.62,18.9,82.6,29.5,30.6,49.4
10,TOR,2015-16,82,29,42,0,11,69,23,0.421,192,240,2.34,2.93,15.4,81.6,30.7,30.5,50.6
11,NYI,2015-16,82,45,27,0,10,100,40,0.61,227,211,2.77,2.57,18.3,84.5,29.4,30.4,50.1
12,NYR,2015-16,82,46,27,0,9,101,43,0.616,233,215,2.84,2.62,18.6,78.2,28.5,30.4,49.2
13,BOS,2015-16,82,42,31,0,9,93,38,0.567,236,228,2.88,2.78,20.5,82.2,32,30.4,50.4
14,DET,2015-16,82,41,30,0,11,93,39,0.567,209,219,2.55,2.67,18.8,81.5,29.7,29.7,50.5
15,STL,2015-16,82,49,24,0,9,107,44,0.652,219,197,2.67,2.4,21.5,85.1,30.2,29.7,51.3
16,PIT,2015-16,82,48,26,0,8,104,44,0.634,241,199,2.94,2.43,18.4,84.4,33.2,29.7,50.2
17,WPG,2015-16,82,35,39,0,8,78,32,0.476,212,236,2.59,2.88,14.8,78.4,29.6,29.5,46.7
18,FLA,2015-16,82,47,26,0,9,103,40,0.628,232,200,2.83,2.44,16.9,79.5,28.8,29.5,50.1
19,MTL,2015-16,82,38,38,0,6,82,33,0.5,216,233,2.63,2.84,16.2,81.9,30.5,29.4,50.3
20,CGY,2015-16,82,35,40,0,7,77,33,0.47,229,257,2.79,3.13,17,75.5,29.2,29,48.6
21,DAL,2015-16,82,50,23,0,9,109,48,0.665,265,228,3.23,2.78,22.1,82.3,32,28.9,50.2
22,TBL,2015-16,82,46,31,0,5,97,43,0.591,224,198,2.73,2.41,15.8,84,29.3,28.9,49.5
23,NJD,2015-16,82,38,36,0,8,84,36,0.512,182,202,2.22,2.46,19.9,83,24.4,28.6,46.4
24,MIN,2015-16,82,38,33,0,11,87,35,0.53,213,204,2.6,2.49,18.5,77.9,29,28.6,52.5
25,WSH,2015-16,82,56,18,0,8,120,52,0.732,248,191,3.02,2.33,21.9,85.2,30.6,28.4,49.6
26,CAR,2015-16,82,35,31,0,16,86,33,0.524,196,221,2.39,2.7,16.8,84.3,29.9,27.6,53.7
27,ANA,2015-16,82,46,25,0,11,103,43,0.628,215,188,2.62,2.29,23.1,87.2,30.3,27.5,51.9
28,LAK,2015-16,82,48,28,0,6,102,46,0.622,223,192,2.72,2.34,20,81.4,32,27.5,50.5
29,SJS,2015-16,82,46,30,0,6,98,42,0.598,237,207,2.89,2.52,22.5,80.5,30.4,27.4,50.7
30,NSH,2015-16,82,41,27,0,14,96,37,0.585,224,213,2.73,2.6,19.7,81.2,30.6,27.3,48.7
